id,user,uid,version,changeset,timestamp
11777464,ChadSi,7725447,6,63801419,2018-10-23T15:54:08Z
11779131,Enock4seth,1803854,15,69413515,2019-04-20T23:28:24Z
11781380,GO_OSM,282860,11,32861417,2015-07-24T21:46:13Z
11782768,Sammyhawkrad,6406545,7,76121210,2019-10-23T19:27:58Z
11783553,Enock4seth,1803854,9,81192577,2020-02-19T00:01:33Z
11783586,Vantajokull,9225319,6,79284745,2020-01-07T08:54:55Z
11783730,Vantajokull,9225319,12,79316096,2020-01-08T01:39:01Z
11783874,Enock4seth,1803854,8,51046688,2017-08-11T22:51:44Z
11783908,Dotty1,6441824,13,51109555,2017-08-14T12:19:41Z
11784651,historicalYas,7532068,11,62791537,2018-09-21T10:21:01Z
11784875,historicalYas,7532068,12,62791537,2018-09-21T10:21:02Z
11784953,historicalYas,7532068,6,62791537,2018-09-21T10:21:02Z
11785055,historicalYas,7532068,5,62791537,2018-09-21T10:21:02Z
11785108,historicalYas,7532068,12,62792781,2018-09-21T10:57:46Z
11785215,historicalYas,7532068,9,62792070,2018-09-21T10:36:23Z
11785327,historicalYas,7532068,9,62792781,2018-09-21T10:57:46Z
11785377,historicalYas,7532068,10,62798147,2018-09-21T13:40:18Z
11785477,historicalYas,7532068,6,62792781,2018-09-21T10:57:46Z
11785563,GO_OSM,282860,6,40437117,2016-07-02T10:21:47Z
11785700,Speedy55,3775202,6,43020715,2016-10-19T21:56:13Z
11785733,Dotty1,6441824,10,51041438,2017-08-11T18:20:40Z
11785789,jet_01,10794995,10,88242031,2020-07-20T11:04:05Z
11785798,GO_OSM,282860,4,32979687,2015-07-30T13:06:40Z
11785839,historicalYas,7532068,10,62794026,2018-09-21T11:42:23Z
11785855,historicalYas,7532068,10,62792070,2018-09-21T10:36:23Z
11785888,historicalYas,7532068,9,62792070,2018-09-21T10:36:23Z
11785954,historicalYas,7532068,11,62792070,2018-09-21T10:36:23Z
11786012,historicalYas,7532068,7,62792070,2018-09-21T10:36:23Z
11789642,tastrax,712752,8,100469100,2021-03-05T07:15:57Z
11790227,tastrax,712752,8,100469100,2021-03-05T07:15:57Z
11793906,tastrax,712752,9,100469100,2021-03-05T07:15:57Z
11793912,tastrax,712752,9,100469100,2021-03-05T07:15:57Z
11816984,Speedy55,3775202,7,43019506,2016-10-19T20:50:23Z
11817343,GO_OSM,282860,2,33331291,2015-08-14T08:31:52Z
11827738,Garonne007,10019220,8,79498237,2020-01-13T05:48:09Z
11849369,GO_OSM,282860,7,49801104,2017-06-24T19:46:43Z
11849395,yaya_B,8484081,5,62123527,2018-08-30T01:32:30Z
11849549,yaya_B,8484081,9,62233279,2018-09-03T02:24:30Z
11867539,Enock4seth,1803854,8,50721419,2017-07-31T13:05:04Z
11867935,Enock4seth,1803854,20,78173959,2019-12-09T23:05:39Z
11868460,MyWayOrNoHighway,4351550,10,43068878,2016-10-21T20:53:43Z
11868495,MyWayOrNoHighway,4351550,10,43069216,2016-10-21T21:12:04Z
11868544,michael kk,9534424,14,68927104,2019-04-05T16:01:16Z
11868736,Enock4seth,1803854,12,50978821,2017-08-09T16:56:19Z
11868811,Dotty1,6441824,13,51066116,2017-08-12T19:26:14Z
11868841,Dotty1,6441824,11,52258008,2017-09-21T21:29:31Z
11868906,Enock4seth,1803854,9,50978821,2017-08-09T16:56:19Z
11868940,MyWayOrNoHighway,4351550,7,43068878,2016-10-21T20:53:46Z
11869041,technoH,8610624,8,63869730,2018-10-25T14:30:53Z
11869075,mfbehrens99,9645335,9,98440707,2021-01-31T09:44:21Z
11869174,GO_OSM,282860,7,38997802,2016-04-30T11:50:43Z
11869392,Enock4seth,1803854,9,99819990,2021-02-23T11:12:09Z
11931154,historicalYas,7532068,9,62792781,2018-09-21T10:57:47Z
11931717,historicalYas,7532068,9,62798147,2018-09-21T13:40:18Z
11931771,historicalYas,7532068,7,62792070,2018-09-21T10:36:23Z
11932211,Dotty1,6441824,9,51001120,2017-08-10T12:54:44Z
